Date,Zip,Daily Calculated Recoveries
6/27/2020,45211,3
6/28/2020,45211,0
6/29/2020,45211,2
6/30/2020,45211,0
7/1/2020,45211,1
7/2/2020,45211,0
7/3/2020,45211,1
7/4/2020,45211,0
7/5/2020,45211,0
7/6/2020,45211,0
7/7/2020,45211,0
7/8/2020,45211,4
7/9/2020,45211,1
7/10/2020,45211,1
7/11/2020,45211,0
7/12/2020,45211,0
7/13/2020,45211,0
7/14/2020,45211,0
7/15/2020,45211,0
7/16/2020,45211,1
7/17/2020,45211,7
7/18/2020,45211,0
7/19/2020,45211,4
7/20/2020,45211,-1
7/21/2020,45211,4
7/22/2020,45211,8
7/23/2020,45211,5
7/24/2020,45211,8
7/25/2020,45211,-1
7/26/2020,45211,0
7/27/2020,45211,0
5/29/2020,45212,0
5/30/2020,45212,3
5/31/2020,45212,0
6/1/2020,45212,4
6/2/2020,45212,0
6/3/2020,45212,0
6/4/2020,45212,1
6/5/2020,45212,1
6/6/2020,45212,0
6/7/2020,45212,0
6/8/2020,45212,0
6/9/2020,45212,-1
6/10/2020,45212,0
6/11/2020,45212,2
6/12/2020,45212,-1
6/13/2020,45212,5
6/14/2020,45212,0
6/15/2020,45212,2
6/16/2020,45212,0
6/17/2020,45212,0
6/18/2020,45212,0
6/19/2020,45212,0
6/20/2020,45212,-1
6/21/2020,45212,0
6/22/2020,45212,3
6/23/2020,45212,1
6/24/2020,45212,2
6/25/2020,45212,0
6/26/2020,45212,1
6/27/2020,45212,-1
6/28/2020,45212,0
6/29/2020,45212,8
6/30/2020,45212,-1
7/1/2020,45212,0
7/2/2020,45212,-2
7/3/2020,45212,-3
7/4/2020,45212,0
7/5/2020,45212,3
7/6/2020,45212,0
7/7/2020,45212,6
7/8/2020,45212,-1
7/9/2020,45212,2
7/10/2020,45212,-2
7/11/2020,45212,-2
7/12/2020,45212,0
7/13/2020,45212,20
7/14/2020,45212,0
7/15/2020,45212,0
7/16/2020,45212,0
7/17/2020,45212,8
7/18/2020,45212,1
7/19/2020,45212,0
7/20/2020,45212,5
7/21/2020,45212,3
7/22/2020,45212,4
7/23/2020,45212,9
7/24/2020,45212,3
7/25/2020,45212,2
7/26/2020,45212,-2
7/27/2020,45212,13
5/29/2020,45213,0
5/30/2020,45213,0
5/31/2020,45213,0
6/1/2020,45213,0
6/2/2020,45213,0
6/3/2020,45213,0
6/4/2020,45213,0
6/5/2020,45213,1
6/6/2020,45213,0
6/7/2020,45213,0
6/8/2020,45213,1
6/9/2020,45213,0
6/10/2020,45213,0
6/11/2020,45213,0
6/12/2020,45213,0
6/13/2020,45213,0
6/14/2020,45213,0
6/15/2020,45213,0
6/16/2020,45213,0
6/17/2020,45213,0
6/18/2020,45213,0
6/19/2020,45213,1
6/20/2020,45213,-1
6/21/2020,45213,0
6/22/2020,45213,0
6/23/2020,45213,0
6/24/2020,45213,1
6/25/2020,45213,0
6/26/2020,45213,0
6/27/2020,45213,1
6/28/2020,45213,0
6/29/2020,45213,1
6/30/2020,45213,0
7/1/2020,45213,0
7/2/2020,45213,0
7/3/2020,45213,0
7/4/2020,45213,0
7/5/2020,45213,0
7/6/2020,45213,0
7/7/2020,45213,0
7/8/2020,45213,2
7/9/2020,45213,1
7/10/2020,45213,0
7/11/2020,45213,-1
7/12/2020,45213,-1
7/13/2020,45213,0
7/14/2020,45213,0
7/15/2020,45213,0
7/16/2020,45213,0
7/17/2020,45213,0
7/18/2020,45213,0
7/19/2020,45213,0
7/20/2020,45213,0
7/21/2020,45213,0
7/22/2020,45213,0
7/23/2020,45213,1
7/24/2020,45213,2
7/25/2020,45213,0
7/26/2020,45213,0
7/27/2020,45213,0
5/29/2020,45214,0
5/30/2020,45214,0
5/31/2020,45214,0
6/1/2020,45214,1
6/2/2020,45214,0
6/3/2020,45214,0
6/4/2020,45214,0
6/5/2020,45214,0
6/6/2020,45214,-1
6/7/2020,45214,0
6/8/2020,45214,0
6/9/2020,45214,0
6/10/2020,45214,0
6/11/2020,45214,0
6/12/2020,45214,0
6/13/2020,45214,0
6/14/2020,45214,0
6/15/2020,45214,0
6/16/2020,45214,0
6/17/2020,45214,1
6/18/2020,45214,0
6/19/2020,45214,0
6/20/2020,45214,0
6/21/2020,45214,0
6/22/2020,45214,0
6/23/2020,45214,1
6/24/2020,45214,0
6/25/2020,45214,1
6/26/2020,45214,0
6/27/2020,45214,1
6/28/2020,45214,0
6/29/2020,45214,0
6/30/2020,45214,0
7/1/2020,45214,0
7/2/2020,45214,0
7/3/2020,45214,0
7/4/2020,45214,-1
7/5/2020,45214,0
7/6/2020,45214,0
7/7/2020,45214,0
7/8/2020,45214,0
7/9/2020,45214,0
7/10/2020,45214,0
7/11/2020,45214,0
7/12/2020,45214,0
7/13/2020,45214,0
7/14/2020,45214,0
7/15/2020,45214,0
7/16/2020,45214,0
7/17/2020,45214,0
7/18/2020,45214,0
7/19/2020,45214,0
7/20/2020,45214,0
7/21/2020,45214,0
7/22/2020,45214,0
7/23/2020,45214,0
7/24/2020,45214,0
7/25/2020,45214,0
7/26/2020,45214,0
7/27/2020,45214,0
5/29/2020,45215,5
5/30/2020,45215,1
5/31/2020,45215,-1
6/1/2020,45215,2
6/2/2020,45215,0
6/3/2020,45215,0
6/4/2020,45215,0
6/5/2020,45215,0
6/6/2020,45215,0
6/7/2020,45215,0
6/8/2020,45215,0
6/9/2020,45215,0
6/10/2020,45215,0
6/11/2020,45215,0
6/12/2020,45215,-1
6/13/2020,45215,0
6/14/2020,45215,0
