Date,Zip,Daily Calculated Recoveries
7/19/2020,45030,2
7/20/2020,45030,-1
7/21/2020,45030,2
7/22/2020,45030,1
7/23/2020,45030,2
7/24/2020,45030,8
7/25/2020,45030,4
7/26/2020,45030,0
7/27/2020,45030,0
5/29/2020,45052,0
5/30/2020,45052,0
5/31/2020,45052,0
6/1/2020,45052,0
6/2/2020,45052,0
6/3/2020,45052,0
6/4/2020,45052,0
6/5/2020,45052,0
6/6/2020,45052,0
6/7/2020,45052,0
6/8/2020,45052,0
6/9/2020,45052,0
6/10/2020,45052,0
6/11/2020,45052,0
6/12/2020,45052,0
6/13/2020,45052,0
6/14/2020,45052,0
6/15/2020,45052,0
6/16/2020,45052,0
6/17/2020,45052,0
6/18/2020,45052,0
6/19/2020,45052,0
6/20/2020,45052,0
6/21/2020,45052,0
6/22/2020,45052,0
6/23/2020,45052,0
6/24/2020,45052,0
6/25/2020,45052,0
6/26/2020,45052,0
6/27/2020,45052,0
6/28/2020,45052,0
6/29/2020,45052,0
6/30/2020,45052,0
7/1/2020,45052,0
7/2/2020,45052,0
7/3/2020,45052,0
7/4/2020,45052,0
7/5/2020,45052,0
7/6/2020,45052,0
7/7/2020,45052,0
7/8/2020,45052,0
7/9/2020,45052,0
7/10/2020,45052,0
7/11/2020,45052,0
7/12/2020,45052,0
7/13/2020,45052,0
7/14/2020,45052,0
7/15/2020,45052,0
7/16/2020,45052,0
7/17/2020,45052,0
7/18/2020,45052,0
7/19/2020,45052,1
7/20/2020,45052,0
7/21/2020,45052,1
7/22/2020,45052,1
7/23/2020,45052,0
7/24/2020,45052,1
7/25/2020,45052,1
7/26/2020,45052,0
7/27/2020,45052,0
5/29/2020,45140,1
5/30/2020,45140,0
5/31/2020,45140,0
6/1/2020,45140,0
6/2/2020,45140,1
6/3/2020,45140,0
6/4/2020,45140,1
6/5/2020,45140,0
6/6/2020,45140,-1
6/7/2020,45140,0
6/8/2020,45140,0
6/9/2020,45140,0
6/10/2020,45140,0
6/11/2020,45140,0
6/12/2020,45140,0
6/13/2020,45140,0
6/14/2020,45140,0
6/15/2020,45140,0
6/16/2020,45140,1
6/17/2020,45140,0
6/18/2020,45140,0
6/19/2020,45140,0
6/20/2020,45140,0
6/21/2020,45140,0
6/22/2020,45140,0
6/23/2020,45140,0
6/24/2020,45140,0
6/25/2020,45140,0
6/26/2020,45140,0
6/27/2020,45140,0
6/28/2020,45140,0
6/29/2020,45140,0
6/30/2020,45140,0
7/1/2020,45140,0
7/2/2020,45140,0
7/3/2020,45140,0
7/4/2020,45140,1
7/5/2020,45140,0
7/6/2020,45140,0
7/7/2020,45140,0
7/8/2020,45140,0
7/9/2020,45140,0
7/10/2020,45140,1
7/11/2020,45140,0
7/12/2020,45140,-1
7/13/2020,45140,0
7/14/2020,45140,0
7/15/2020,45140,0
7/16/2020,45140,0
7/17/2020,45140,0
7/18/2020,45140,0
7/19/2020,45140,3
7/20/2020,45140,0
7/21/2020,45140,0
7/22/2020,45140,1
7/23/2020,45140,3
7/24/2020,45140,4
7/25/2020,45140,1
7/26/2020,45140,0
7/27/2020,45140,0
5/29/2020,45174,0
5/30/2020,45174,0
5/31/2020,45174,0
6/1/2020,45174,0
6/2/2020,45174,0
6/3/2020,45174,0
6/4/2020,45174,0
6/5/2020,45174,0
6/6/2020,45174,0
6/7/2020,45174,0
6/8/2020,45174,0
6/9/2020,45174,0
6/10/2020,45174,0
6/11/2020,45174,0
6/12/2020,45174,0
6/13/2020,45174,0
6/14/2020,45174,0
6/15/2020,45174,0
6/16/2020,45174,0
6/17/2020,45174,0
6/18/2020,45174,0
6/19/2020,45174,0
6/20/2020,45174,0
6/21/2020,45174,0
6/22/2020,45174,0
6/23/2020,45174,0
6/24/2020,45174,0
6/25/2020,45174,0
6/26/2020,45174,0
6/27/2020,45174,0
6/28/2020,45174,0
6/29/2020,45174,0
6/30/2020,45174,0
7/1/2020,45174,0
7/2/2020,45174,1
7/3/2020,45174,0
7/4/2020,45174,0
7/5/2020,45174,0
7/6/2020,45174,0
7/7/2020,45174,2
7/8/2020,45174,1
7/9/2020,45174,0
7/10/2020,45174,0
7/11/2020,45174,0
7/12/2020,45174,0
7/13/2020,45174,0
7/14/2020,45174,0
7/15/2020,45174,0
7/16/2020,45174,0
7/17/2020,45174,0
7/18/2020,45174,0
7/19/2020,45174,0
7/20/2020,45174,0
7/21/2020,45174,0
7/22/2020,45174,0
7/23/2020,45174,2
7/24/2020,45174,0
7/25/2020,45174,0
7/26/2020,45174,0
7/27/2020,45174,0
5/29/2020,45202,0
5/30/2020,45202,0
5/31/2020,45202,0
6/1/2020,45202,0
6/2/2020,45202,0
6/3/2020,45202,0
6/4/2020,45202,0
6/5/2020,45202,0
6/6/2020,45202,0
6/7/2020,45202,0
6/8/2020,45202,0
6/9/2020,45202,0
6/10/2020,45202,0
6/11/2020,45202,0
6/12/2020,45202,0
6/13/2020,45202,0
6/14/2020,45202,0
6/15/2020,45202,0
6/16/2020,45202,0
6/17/2020,45202,0
6/18/2020,45202,0
6/19/2020,45202,0
6/20/2020,45202,0
6/21/2020,45202,0
6/22/2020,45202,0
6/23/2020,45202,1
6/24/2020,45202,0
6/25/2020,45202,0
6/26/2020,45202,0
6/27/2020,45202,0
6/28/2020,45202,0
6/29/2020,45202,0
6/30/2020,45202,0
7/1/2020,45202,0
7/2/2020,45202,0
7/3/2020,45202,0
7/4/2020,45202,0
7/5/2020,45202,0
7/6/2020,45202,0
7/7/2020,45202,0
7/8/2020,45202,0
7/9/2020,45202,0
7/10/2020,45202,0
7/11/2020,45202,0
7/12/2020,45202,0
7/13/2020,45202,0
7/14/2020,45202,0
7/15/2020,45202,0
7/16/2020,45202,0
7/17/2020,45202,0
7/18/2020,45202,0
7/19/2020,45202,0
7/20/2020,45202,-1
7/21/2020,45202,0
7/22/2020,45202,0
7/23/2020,45202,0
7/24/2020,45202,0
7/25/2020,45202,0
7/26/2020,45202,0
7/27/2020,45202,0
5/29/2020,45203,0
5/30/2020,45203,0
5/31/2020,45203,0
6/1/2020,45203,0
6/2/2020,45203,0
6/3/2020,45203,0
6/4/2020,45203,0
6/5/2020,45203,0
6/6/2020,45203,0
6/7/2020,45203,0
6/8/2020,45203,0
6/9/2020,45203,0
6/10/2020,45203,0
6/11/2020,45203,0
6/12/2020,45203,0
6/13/2020,45203,0
6/14/2020,45203,0
6/15/2020,45203,0
6/16/2020,45203,1
6/17/2020,45203,0
6/18/2020,45203,0
6/19/2020,45203,0
6/20/2020,45203,0
6/21/2020,45203,0
6/22/2020,45203,0
6/23/2020,45203,0
6/24/2020,45203,1
6/25/2020,45203,1
6/26/2020,45203,0
6/27/2020,45203,0
6/28/2020,45203,0
6/29/2020,45203,0
6/30/2020,45203,0
7/1/2020,45203,0
7/2/2020,45203,0
7/3/2020,45203,0
7/4/2020,45203,0
7/5/2020,45203,0
7/6/2020,45203,0
7/7/2020,45203,0
7/8/2020,45203,0
7/9/2020,45203,0
7/10/2020,45203,0
7/11/2020,45203,0
7/12/2020,45203,0
7/13/2020,45203,0
7/14/2020,45203,0
7/15/2020,45203,0
7/16/2020,45203,0
7/17/2020,45203,0
7/18/2020,45203,0
7/19/2020,45203,0
7/20/2020,45203,0
7/21/2020,45203,0
7/22/2020,45203,0
7/23/2020,45203,0
7/24/2020,45203,0
7/25/2020,45203,0
7/26/2020,45203,0
7/27/2020,45203,0
5/29/2020,45204,0
5/30/2020,45204,0
5/31/2020,45204,0
6/1/2020,45204,0
6/2/2020,45204,0
6/3/2020,45204,0
6/4/2020,45204,0
6/5/2020,45204,0
6/6/2020,45204,0
6/7/2020,45204,0
6/8/2020,45204,0
6/9/2020,45204,0
6/10/2020,45204,0
6/11/2020,45204,0
6/12/2020,45204,0
6/13/2020,45204,0
6/14/2020,45204,0
6/15/2020,45204,0
6/16/2020,45204,0
6/17/2020,45204,0
6/18/2020,45204,0
6/19/2020,45204,0
6/20/2020,45204,1
6/21/2020,45204,0
6/22/2020,45204,0
6/23/2020,45204,0
6/24/2020,45204,0
6/25/2020,45204,0
6/26/2020,45204,1
6/27/2020,45204,0
6/28/2020,45204,0
6/29/2020,45204,0
6/30/2020,45204,0
7/1/2020,45204,0
7/2/2020,45204,0
7/3/2020,45204,0
7/4/2020,45204,0
7/5/2020,45204,0
7/6/2020,45204,0
7/7/2020,45204,0
7/8/2020,45204,0
7/9/2020,45204,0
7/10/2020,45204,0
7/11/2020,45204,0
7/12/2020,45204,0
7/13/2020,45204,0
7/14/2020,45204,0
7/15/2020,45204,0
7/16/2020,45204,0
7/17/2020,45204,0
7/18/2020,45204,0
7/19/2020,45204,0
7/20/2020,45204,0
7/21/2020,45204,-1
7/22/2020,45204,0
7/23/2020,45204,0
7/24/2020,45204,0
7/25/2020,45204,0
7/26/2020,45204,0
7/27/2020,45204,0
5/29/2020,45205,0
5/30/2020,45205,0
5/31/2020,45205,0
6/1/2020,45205,0
6/2/2020,45205,2
6/3/2020,45205,1
6/4/2020,45205,2
6/5/2020,45205,0
6/6/2020,45205,0
6/7/2020,45205,0
6/8/2020,45205,0
6/9/2020,45205,0
6/10/2020,45205,0
6/11/2020,45205,0
6/12/2020,45205,3
6/13/2020,45205,0
6/14/2020,45205,0
6/15/2020,45205,0
6/16/2020,45205,3
6/17/2020,45205,0
6/18/2020,45205,0
6/19/2020,45205,0
6/20/2020,45205,1
6/21/2020,45205,0
6/22/2020,45205,2
6/23/2020,45205,0
6/24/2020,45205,0
6/25/2020,45205,0
6/26/2020,45205,1
6/27/2020,45205,0
6/28/2020,45205,0
6/29/2020,45205,1
6/30/2020,45205,0
7/1/2020,45205,1
7/2/2020,45205,0
7/3/2020,45205,0
7/4/2020,45205,0
7/5/2020,45205,1
7/6/2020,45205,0
7/7/2020,45205,0
7/8/2020,45205,0
7/9/2020,45205,0
7/10/2020,45205,0
7/11/2020,45205,0
7/12/2020,45205,0
7/13/2020,45205,0
7/14/2020,45205,0
7/15/2020,45205,0
7/16/2020,45205,0
7/17/2020,45205,0
7/18/2020,45205,0
7/19/2020,45205,0
7/20/2020,45205,0
7/21/2020,45205,0
7/22/2020,45205,0
7/23/2020,45205,0
7/24/2020,45205,0
7/25/2020,45205,0
7/26/2020,45205,0
7/27/2020,45205,0
5/29/2020,45206,0
5/30/2020,45206,0
5/31/2020,45206,0
6/1/2020,45206,0
6/2/2020,45206,0
6/3/2020,45206,0
6/4/2020,45206,0
6/5/2020,45206,0
6/6/2020,45206,0
6/7/2020,45206,0
6/8/2020,45206,3
6/9/2020,45206,0
6/10/2020,45206,1
6/11/2020,45206,0
6/12/2020,45206,1
6/13/2020,45206,0
6/14/2020,45206,0
6/15/2020,45206,0
6/16/2020,45206,0
6/17/2020,45206,0
6/18/2020,45206,0
6/19/2020,45206,0
6/20/2020,45206,0
6/21/2020,45206,0
6/22/2020,45206,0
6/23/2020,45206,0
6/24/2020,45206,1
6/25/2020,45206,0
6/26/2020,45206,0
6/27/2020,45206,0
6/28/2020,45206,0
6/29/2020,45206,0
6/30/2020,45206,0
7/1/2020,45206,0
7/2/2020,45206,0
7/3/2020,45206,0
7/4/2020,45206,0
7/5/2020,45206,0
7/6/2020,45206,0
7/7/2020,45206,0
7/8/2020,45206,0
7/9/2020,45206,0
7/10/2020,45206,0
7/11/2020,45206,0
7/12/2020,45206,0
7/13/2020,45206,0
7/14/2020,45206,0
7/15/2020,45206,0
7/16/2020,45206,0
7/17/2020,45206,0
7/18/2020,45206,0
7/19/2020,45206,0
7/20/2020,45206,0
7/21/2020,45206,0
7/22/2020,45206,0
7/23/2020,45206,0
7/24/2020,45206,0
7/25/2020,45206,0
7/26/2020,45206,1
7/27/2020,45206,0
5/29/2020,45207,0
5/30/2020,45207,0
5/31/2020,45207,0
6/1/2020,45207,0
6/2/2020,45207,0
6/3/2020,45207,0
6/4/2020,45207,0
6/5/2020,45207,0
6/6/2020,45207,0
6/7/2020,45207,0
6/8/2020,45207,0
6/9/2020,45207,0
6/10/2020,45207,0
6/11/2020,45207,0
6/12/2020,45207,0
6/13/2020,45207,0
6/14/2020,45207,0
6/15/2020,45207,0
6/16/2020,45207,0
6/17/2020,45207,0
6/18/2020,45207,0
6/19/2020,45207,0
6/20/2020,45207,1
6/21/2020,45207,0
6/22/2020,45207,0
6/23/2020,45207,0
6/24/2020,45207,0
6/25/2020,45207,1
6/26/2020,45207,1
6/27/2020,45207,0
6/28/2020,45207,0
6/29/2020,45207,0
6/30/2020,45207,0
7/1/2020,45207,0
7/2/2020,45207,0
7/3/2020,45207,0
7/4/2020,45207,0
7/5/2020,45207,0
7/6/2020,45207,0
7/7/2020,45207,0
7/8/2020,45207,0
7/9/2020,45207,0
7/10/2020,45207,0
7/11/2020,45207,0
7/12/2020,45207,0
7/13/2020,45207,0
7/14/2020,45207,0
7/15/2020,45207,0
7/16/2020,45207,0
7/17/2020,45207,0
7/18/2020,45207,0
7/19/2020,45207,-1
7/20/2020,45207,0
7/21/2020,45207,0
7/22/2020,45207,0
7/23/2020,45207,0
7/24/2020,45207,0
7/25/2020,45207,0
7/26/2020,45207,0
7/27/2020,45207,1
5/29/2020,45208,0
5/30/2020,45208,0
5/31/2020,45208,0
6/1/2020,45208,0
6/2/2020,45208,0
6/3/2020,45208,0
6/4/2020,45208,0
6/5/2020,45208,0
6/6/2020,45208,1
6/7/2020,45208,0
6/8/2020,45208,0
6/9/2020,45208,0
6/10/2020,45208,0
6/11/2020,45208,0
6/12/2020,45208,1
6/13/2020,45208,0
6/14/2020,45208,0
6/15/2020,45208,0
6/16/2020,45208,1
6/17/2020,45208,0
6/18/2020,45208,0
6/19/2020,45208,0
6/20/2020,45208,0
6/21/2020,45208,0
6/22/2020,45208,0
6/23/2020,45208,0
6/24/2020,45208,0
6/25/2020,45208,1
6/26/2020,45208,0
6/27/2020,45208,0
6/28/2020,45208,0
6/29/2020,45208,0
6/30/2020,45208,0
7/1/2020,45208,0
7/2/2020,45208,0
7/3/2020,45208,0
7/4/2020,45208,0
7/5/2020,45208,0
7/6/2020,45208,0
7/7/2020,45208,0
7/8/2020,45208,0
7/9/2020,45208,0
7/10/2020,45208,0
7/11/2020,45208,0
7/12/2020,45208,0
7/13/2020,45208,0
7/14/2020,45208,0
7/15/2020,45208,0
7/16/2020,45208,0
7/17/2020,45208,0
7/18/2020,45208,0
7/19/2020,45208,0
7/20/2020,45208,0
7/21/2020,45208,0
7/22/2020,45208,0
7/23/2020,45208,0
7/24/2020,45208,0
7/25/2020,45208,0
7/26/2020,45208,0
7/27/2020,45208,0
5/29/2020,45209,0
5/30/2020,45209,-1
5/31/2020,45209,0
6/1/2020,45209,0
6/2/2020,45209,-1
6/3/2020,45209,1
6/4/2020,45209,0
6/5/2020,45209,0
6/6/2020,45209,1
6/7/2020,45209,0
6/8/2020,45209,0
6/9/2020,45209,1
6/10/2020,45209,0
6/11/2020,45209,0
6/12/2020,45209,-1
6/13/2020,45209,0
6/14/2020,45209,0
6/15/2020,45209,0
6/16/2020,45209,0
6/17/2020,45209,0
6/18/2020,45209,0
6/19/2020,45209,0
6/20/2020,45209,0
6/21/2020,45209,0
6/22/2020,45209,0
6/23/2020,45209,0
6/24/2020,45209,0
6/25/2020,45209,0
6/26/2020,45209,0
6/27/2020,45209,0
6/28/2020,45209,0
6/29/2020,45209,0
6/30/2020,45209,0
7/1/2020,45209,0
7/2/2020,45209,0
7/3/2020,45209,0
7/4/2020,45209,0
7/5/2020,45209,0
7/6/2020,45209,0
7/7/2020,45209,0
7/8/2020,45209,0
7/9/2020,45209,0
7/10/2020,45209,0
7/11/2020,45209,0
7/12/2020,45209,0
7/13/2020,45209,0
7/14/2020,45209,0
7/15/2020,45209,0
7/16/2020,45209,0
7/17/2020,45209,0
7/18/2020,45209,0
7/19/2020,45209,0
7/20/2020,45209,0
7/21/2020,45209,1
7/22/2020,45209,0
7/23/2020,45209,0
7/24/2020,45209,0
7/25/2020,45209,0
7/26/2020,45209,0
7/27/2020,45209,0
5/29/2020,45211,0
5/30/2020,45211,0
5/31/2020,45211,0
6/1/2020,45211,0
6/2/2020,45211,0
6/3/2020,45211,0
6/4/2020,45211,1
6/5/2020,45211,1
6/6/2020,45211,0
6/7/2020,45211,0
6/8/2020,45211,0
6/9/2020,45211,-1
6/10/2020,45211,0
6/11/2020,45211,0
6/12/2020,45211,3
6/13/2020,45211,0
6/14/2020,45211,0
6/15/2020,45211,2
6/16/2020,45211,2
6/17/2020,45211,0
6/18/2020,45211,0
6/19/2020,45211,2
6/20/2020,45211,-1
6/21/2020,45211,0
6/22/2020,45211,3
6/23/2020,45211,4
6/24/2020,45211,7
6/25/2020,45211,1
6/26/2020,45211,1
