"SI_mean","SI_sd","time_frame","start_dt","end_dt","t_start","t_end","Mean.R.","Std.R.","Quantile.0.025.R.","Quantile.0.975.R."
5,3,1,2020-03-21,2020-04-19,2,31,1.29919970366449,0.00304695620386537,1.29366526720896,1.30561969736727
5,3,1,2020-03-22,2020-04-20,3,32,1.22224356324462,0.00296560166847484,1.21672387941919,1.2276672979798
5,3,1,2020-03-23,2020-04-21,4,33,1.18048479658247,0.00246427148765393,1.17578510542844,1.18502504860176
5,3,1,2020-03-24,2020-04-22,5,34,1.16039110178757,0.00275059737580881,1.15587471659475,1.16600051195787
5,3,1,2020-03-25,2020-04-23,6,35,1.13739423137618,0.00254462972289374,1.13329617834395,1.14182944090587
5,3,1,2020-03-26,2020-04-24,7,36,1.12085242118283,0.00251736305450319,1.11664016042041,1.12598534089338
5,3,1,2020-03-27,2020-04-25,8,37,1.11045664211634,0.00267505334190329,1.10477751358696,1.11518851902174
5,3,1,2020-03-28,2020-04-26,9,38,1.10186218677229,0.00263968953075505,1.09709831972468,1.1068290707875
5,3,1,2020-03-29,2020-04-27,10,39,1.09712965595363,0.00259926481219084,1.09303572625511,1.10256384476171
5,3,1,2020-03-30,2020-04-28,11,40,1.09386977816341,0.00244250470831337,1.08964512711864,1.09855832891949
5,3,1,2020-03-31,2020-04-29,12,41,1.08935116718582,0.00249059787038701,1.0846014964216,1.09444209499024
5,3,1,2020-04-01,2020-04-30,13,42,1.08312337489778,0.00230729329357579,1.07939727065959,1.08725676017185
5,3,1,2020-04-02,2020-05-01,14,43,1.07641695194741,0.00234323031256407,1.07202686014202,1.08058660080272
5,3,1,2020-04-03,2020-05-02,15,44,1.07229408688209,0.00242359344062864,1.06784931840312,1.07725931110029
5,3,1,2020-04-04,2020-05-03,16,45,1.07030065572858,0.00252954738581773,1.06637453318877,1.07466720877003
5,3,1,2020-04-05,2020-05-04,17,46,1.06947407179068,0.00216427633842867,1.06563041529728,1.07363310427248
5,3,1,2020-04-06,2020-05-05,18,47,1.06889293696713,0.0024155080298255,1.06445704832802,1.07360126432707
5,3,1,2020-04-07,2020-05-06,19,48,1.06675479827277,0.002271200061711,1.06264743664604,1.07071411888357
5,3,1,2020-04-08,2020-05-07,20,49,1.06168761592053,0.00216322097943198,1.05654830528015,1.0657193912843
5,3,1,2020-04-09,2020-05-08,21,50,1.05138660142161,0.00237975315552034,1.04686188370922,1.05571800324584
5,3,1,2020-04-10,2020-05-09,22,51,1.04282344938383,0.00236007237304909,1.0384376374835,1.04721595908491
5,3,1,2020-04-11,2020-05-10,23,52,1.03475926918324,0.00241158291479619,1.03072032734662,1.03967430109299
5,3,1,2020-04-12,2020-05-11,24,53,1.02344115865354,0.00237459889576864,1.01918905794756,1.02857316283587
5,3,1,2020-04-13,2020-05-12,25,54,1.01184995222277,0.0024349864638156,1.00720968260776,1.0164365751662
5,3,1,2020-04-14,2020-05-13,26,55,0.996953457214792,0.00266230010155121,0.992368813993174,1.0021611028157
5,3,1,2020-04-15,2020-05-14,27,56,0.983247558163808,0.00253167562850942,0.977548079442436,0.987871403867316
5,3,1,2020-04-16,2020-05-15,28,57,0.962848392658435,0.00227616883733067,0.958296373597704,0.966844508218106
5,3,1,2020-04-17,2020-05-16,29,58,0.943023583990862,0.00241504414260106,0.938053457139859,0.947359930752282
5,3,1,2020-04-18,2020-05-17,30,59,0.930939463975803,0.00219297427822909,0.926093368051865,0.934639706663833
5,3,1,2020-04-19,2020-05-18,31,60,0.930941216042304,0.00250371975124248,0.925944715625514,0.935151922338617
5,3,1,2020-04-20,2020-05-19,32,61,0.949923484294875,0.00253614804639852,0.945333122010259,0.954678404702899
5,3,1,2020-04-21,2020-05-20,33,62,0.975190063905753,0.00269008833681135,0.970395931710861,0.98029725148323
5,3,1,2020-04-22,2020-05-21,34,63,0.988477553558846,0.00266137477012782,0.983871556285349,0.992977254758864
5,3,1,2020-04-23,2020-05-22,35,64,0.991910427995869,0.00272910048774055,0.98664258304353,0.996739716992445
5,3,1,2020-04-24,2020-05-23,36,65,0.995758844366308,0.00248822725951168,0.990424195285389,0.999971580710781
5,3,1,2020-04-25,2020-05-24,37,66,0.99624529470682,0.00229519046973882,0.991185342253016,1.00009108828097
5,3,1,2020-04-26,2020-05-25,38,67,0.993509592216475,0.00249171664728139,0.988688573120189,0.998223801065719
5,3,1,2020-04-27,2020-05-26,39,68,0.989269998079288,0.00243520695871405,0.984713665434489,0.993702693187819
