Case Report Date,ZipCode,Frequency
04/06/2020,45030,3
04/06/2020,45140,2
04/06/2020,45205,2
04/06/2020,45207,1
04/06/2020,45208,2
04/06/2020,45209,1
04/06/2020,45212,2
04/06/2020,45215,2
04/06/2020,45217,1
04/06/2020,45223,1
04/06/2020,45224,1
04/06/2020,45226,1
04/06/2020,45231,4
04/06/2020,45233,1
04/06/2020,45236,1
04/06/2020,45237,1
04/06/2020,45238,2
04/06/2020,45240,2
04/06/2020,45241,3
04/06/2020,45243,1
04/06/2020,45246,1
04/06/2020,45251,2
04/07/2020,45030,1
04/07/2020,45211,3
04/07/2020,45212,3
04/07/2020,45213,1
04/07/2020,45215,2
04/07/2020,45219,1
04/07/2020,45227,1
04/07/2020,45230,1
04/07/2020,45231,3
04/07/2020,45237,1
04/07/2020,45239,2
04/07/2020,45240,2
04/07/2020,45241,2
04/07/2020,45242,3
04/07/2020,45243,1
04/07/2020,45247,1
04/07/2020,45248,1
04/08/2020,45002,1
04/08/2020,45030,1
04/08/2020,45205,1
04/08/2020,45206,1
04/08/2020,45207,1
04/08/2020,45209,2
04/08/2020,45212,1
04/08/2020,45214,1
04/08/2020,45215,2
04/08/2020,45224,1
04/08/2020,45230,1
04/08/2020,45232,1
04/08/2020,45236,1
04/08/2020,45237,1
04/08/2020,45238,3
04/08/2020,45239,1
04/08/2020,45240,4
04/08/2020,45242,3
04/08/2020,45247,1
04/08/2020,45251,2
04/08/2020,45255,1
04/09/2020,45002,2
04/09/2020,45030,2
04/09/2020,45140,1
04/09/2020,45208,2
04/09/2020,45209,1
04/09/2020,45211,1
04/09/2020,45212,6
04/09/2020,45213,2
04/09/2020,45215,2
04/09/2020,45216,2
04/09/2020,45224,2
04/09/2020,45229,1
04/09/2020,45230,1
04/09/2020,45231,6
04/09/2020,45232,1
04/09/2020,45233,1
04/09/2020,45237,1
04/09/2020,45239,1
04/09/2020,45240,3
04/09/2020,45241,4
04/09/2020,45243,2
04/09/2020,45251,5
04/10/2020,45211,1
04/10/2020,45219,1
04/10/2020,45225,1
04/10/2020,45231,3
04/10/2020,45236,1
